date,product_id,product_name,quantity_shipped,destination,delivery_time_days,carrier
2024-01-08,P001,Стол Loft Nord,20,Москва,3,Деловые Линии
2024-01-08,P003,Стул Steel Oak,36,Санкт-Петербург,2,Собственная доставка
2024-01-08,P004,Полка WallRack,24,Новосибирск,5,ПЭК
2024-01-15,P001,Стол Loft Nord,22,Санкт-Петербург,2,Собственная доставка
2024-01-15,P002,Стол Loft Extend,8,Казань,4,ПЭК
2024-01-15,P003,Стул Steel Oak,38,Москва,3,Деловые Линии
2024-01-22,P001,Стол Loft Nord,24,Екатеринбург,5,ПЭК
2024-01-22,P004,Полка WallRack,26,Санкт-Петербург,2,Собственная доставка
2024-01-22,P003,Стул Steel Oak,40,Москва,3,Деловые Линии
2024-01-29,P002,Стол Loft Extend,10,Санкт-Петербург,2,Собственная доставка
2024-01-29,P001,Стол Loft Nord,26,Москва,3,Деловые Линии
2024-02-05,P003,Стул Steel Oak,42,Санкт-Петербург,2,Собственная доставка
2024-02-05,P004,Полка WallRack,28,Воронеж,4,ПЭК
2024-02-12,P001,Стол Loft Nord,28,Москва,3,Деловые Линии
2024-02-12,P003,Стул Steel Oak,44,Екатеринбург,5,ПЭК
2024-02-19,P002,Стол Loft Extend,12,Санкт-Петербург,2,Собственная доставка
2024-02-19,P001,Стол Loft Nord,30,Новосибирск,5,ПЭК
2024-02-26,P004,Полка WallRack,30,Москва,3,Деловые Линии
2024-02-26,P003,Стул Steel Oak,46,Санкт-Петербург,2,Собственная доставка
2024-03-04,P001,Стол Loft Nord,32,Москва,3,Деловые Линии
2024-03-04,P002,Стол Loft Extend,14,Санкт-Петербург,2,Собственная доставка
2024-03-04,P003,Стул Steel Oak,48,Казань,4,ПЭК
2024-03-11,P004,Полка WallRack,32,Санкт-Петербург,2,Собственная доставка
2024-03-11,P001,Стол Loft Nord,34,Екатеринбург,5,ПЭК
2024-03-18,P003,Стул Steel Oak,50,Москва,3,Деловые Линии
2024-03-18,P004,Полка WallRack,34,Воронеж,4,ПЭК
2024-03-25,P001,Стол Loft Nord,36,Санкт-Петербург,2,Собственная доставка
2024-03-25,P002,Стол Loft Extend,16,Москва,3,Деловые Линии
2024-03-31,P003,Стул Steel Oak,52,Москва,3,Деловые Линии
2024-03-31,P004,Полка WallRack,36,Санкт-Петербург,2,Собственная доставка
2024-06-10,P001,Стол Loft Nord,10,Санкт-Петербург,6,ПЭК
2024-06-10,P003,Стул Steel Oak,18,Москва,7,ПЭК
2024-06-17,P004,Полка WallRack,12,Новосибирск,9,ПЭК
2024-06-17,P001,Стол Loft Nord,0,Санкт-Петербург,0,—
2024-06-24,P002,Стол Loft Extend,6,Москва,6,Деловые Линии
2024-06-24,P003,Стул Steel Oak,22,Санкт-Петербург,4,Собственная доставка
2024-07-01,P001,Стол Loft Nord,20,Екатеринбург,5,ПЭК
2024-07-01,P004,Полка WallRack,18,Санкт-Петербург,3,Собственная доставка
2024-09-09,P007,Стол Coffee Urban,22,Санкт-Петербург,2,Собственная доставка
2024-09-09,P001,Стол Loft Nord,34,Москва,3,Деловые Линии
2024-09-16,P006,Тумба TV Frame,18,Казань,4,ПЭК
2024-09-16,P003,Стул Steel Oak,42,Санкт-Петербург,2,Собственная доставка
2024-09-23,P002,Стол Loft Extend,16,Москва,3,Деловые Линии
2024-09-23,P001,Стол Loft Nord,36,Санкт-Петербург,2,Собственная доставка
2024-10-07,P006,Тумба TV Frame,22,Москва,3,Деловые Линии
2024-10-07,P003,Стул Steel Oak,46,Санкт-Петербург,2,Собственная доставка
2024-10-14,P001,Стол Loft Nord,38,Екатеринбург,5,ПЭК
2024-10-14,P007,Стол Coffee Urban,26,Санкт-Петербург,2,Собственная доставка
2024-11-04,P001,Стол Loft Nord,42,Москва,3,Деловые Линии
2024-11-04,P003,Стул Steel Oak,58,Санкт-Петербург,2,Собственная доставка
2024-11-11,P006,Тумба TV Frame,24,Новосибирск,5,ПЭК
2024-11-11,P004,Полка WallRack,36,Москва,3,Деловые Линии
2024-11-18,P001,Стол Loft Nord,46,Санкт-Петербург,2,Собственная доставка
2024-11-18,P002,Стол Loft Extend,18,Казань,4,ПЭК
2024-12-02,P001,Стол Loft Nord,50,Москва,3,Деловые Линии
2024-12-02,P003,Стул Steel Oak,62,Санкт-Петербург,2,Собственная доставка
2024-12-09,P006,Тумба TV Frame,26,Екатеринбург,5,ПЭК
2024-12-09,P007,Стол Coffee Urban,30,Санкт-Петербург,2,Собственная доставка
2024-12-16,P002,Стол Loft Extend,20,Москва,3,Деловые Линии
2024-12-16,P004,Полка WallRack,50,Санкт-Петербург,2,Собственная доставка
```