date,product_id,product_name,quantity_produced,materials_used
2024-01-01,P001,Стол Loft Nord,22,"Дуб европейский: 110kg; Профильная труба 40x20: 66m; Порошковая краска: 6kg; Масло Osmo: 2.2kg; Фурнитура Blum: 22 компл."
2024-01-01,P002,Стол Loft Extend,10,"Дуб европейский: 70kg; Листовой металл Ст3: 35m2; Порошковая краска: 4kg; Масло Osmo: 1kg; Фурнитура Blum: 10 компл."
2024-01-01,P003,Стул Steel Oak,40,"Дуб европейский: 80kg; Профильная труба 40x20: 80m; Порошковая краска: 8kg; Крепеж: 400 шт."
2024-01-01,P004,Полка WallRack,30,"Сосна карельская: 60kg; Профильная труба 40x20: 45m; Порошковая краска: 5kg; Крепеж: 300 шт."
2024-01-08,P001,Стол Loft Nord,24,"Дуб европейский: 120kg; Профильная труба 40x20: 72m; Порошковая краска: 6.5kg; Масло Osmo: 2.4kg; Фурнитура Blum: 24 компл."
2024-01-08,P002,Стол Loft Extend,12,"Дуб европейский: 84kg; Листовой металл Ст3: 40m2; Порошковая краска: 4.5kg; Масло Osmo: 1.2kg; Фурнитура Blum: 12 компл."
2024-01-08,P003,Стул Steel Oak,42,"Дуб европейский: 84kg; Профильная труба 40x20: 84m; Порошковая краска: 8.5kg; Крепеж: 420 шт."
2024-01-08,P004,Полка WallRack,32,"Сосна карельская: 64kg; Профильная труба 40x20: 48m; Порошковая краска: 5.2kg; Крепеж: 320 шт."
2024-01-15,P001,Стол Loft Nord,26,"Дуб европейский: 130kg; Профильная труба 40x20: 78m; Порошковая краска: 7kg; Масло Osmo: 2.6kg; Фурнитура Blum: 26 компл."
2024-01-15,P002,Стол Loft Extend,13,"Дуб европейский: 91kg; Листовой металл Ст3: 43m2; Порошковая краска: 4.8kg; Масло Osmo: 1.3kg; Фурнитура Blum: 13 компл."
2024-01-15,P003,Стул Steel Oak,45,"Дуб европейский: 90kg; Профильная труба 40x20: 90m; Порошковая краска: 9kg; Крепеж: 450 шт."
2024-01-15,P004,Полка WallRack,34,"Сосна карельская: 68kg; Профильная труба 40x20: 51m; Порошковая краска: 5.4kg; Крепеж: 340 шт."
2024-01-22,P001,Стол Loft Nord,28,"Дуб европейский: 140kg; Профильная труба 40x20: 84m; Порошковая краска: 7.2kg; Масло Osmo: 2.8kg; Фурнитура Blum: 28 компл."
2024-01-22,P002,Стол Loft Extend,14,"Дуб европейский: 98kg; Листовой металл Ст3: 45m2; Порошковая краска: 5kg; Масло Osmo: 1.4kg; Фурнитура Blum: 14 компл."
2024-01-22,P003,Стул Steel Oak,48,"Дуб европейский: 96kg; Профильная труба 40x20: 96m; Порошковая краска: 9.5kg; Крепеж: 480 шт."
2024-01-22,P004,Полка WallRack,35,"Сосна карельская: 70kg; Профильная труба 40x20: 52m; Порошковая краска: 5.6kg; Крепеж: 350 шт."
2024-01-29,P001,Стол Loft Nord,30,"Дуб европейский: 150kg; Профильная труба 40x20: 90m; Порошковая краска: 7.5kg; Масло Osmo: 3kg; Фурнитура Blum: 30 компл."
2024-01-29,P002,Стол Loft Extend,15,"Дуб европейский: 105kg; Листовой металл Ст3: 48m2; Порошковая краска: 5.2kg; Масло Osmo: 1.5kg; Фурнитура Blum: 15 компл."
2024-01-29,P003,Стул Steel Oak,50,"Дуб европейский: 100kg; Профильная труба 40x20: 100m; Порошковая краска: 10kg; Крепеж: 500 шт."
2024-01-29,P004,Полка WallRack,36,"Сосна карельская: 72kg; Профильная труба 40x20: 54m; Порошковая краска: 5.8kg; Крепеж: 360 шт."
2024-02-05,P001,Стол Loft Nord,32,"Дуб европейский: 160kg; Профильная труба 40x20: 96m; Порошковая краска: 8kg; Масло Osmo: 3.2kg; Фурнитура Blum: 32 компл."
2024-02-05,P002,Стол Loft Extend,16,"Дуб европейский: 112kg; Листовой металл Ст3: 50m2; Порошковая краска: 5.4kg; Масло Osmo: 1.6kg; Фурнитура Blum: 16 компл."
2024-02-05,P003,Стул Steel Oak,52,"Дуб европейский: 104kg; Профильная труба 40x20: 104m; Порошковая краска: 10.5kg; Крепеж: 520 шт."
2024-02-05,P004,Полка WallRack,38,"Сосна карельская: 76kg; Профильная труба 40x20: 57m; Порошковая краска: 6kg; Крепеж: 380 шт."
2024-02-12,P001,Стол Loft Nord,34,"Дуб европейский: 170kg; Профильная труба 40x20: 102m; Порошковая краска: 8.2kg; Масло Osmo: 3.4kg; Фурнитура Blum: 34 компл."
2024-02-12,P002,Стол Loft Extend,17,"Дуб европейский: 119kg; Листовой металл Ст3: 53m2; Порошковая краска: 5.8kg; Масло Osmo: 1.7kg; Фурнитура Blum: 17 компл."
2024-02-12,P003,Стул Steel Oak,54,"Дуб европейский: 108kg; Профильная труба 40x20: 108m; Порошковая краска: 11kg; Крепеж: 540 шт."
2024-02-12,P004,Полка WallRack,40,"Сосна карельская: 80kg; Профильная труба 40x20: 60m; Порошковая краска: 6.2kg; Крепеж: 400 шт."
2024-02-19,P001,Стол Loft Nord,36,"Дуб европейский: 180kg; Профильная труба 40x20: 108m; Порошковая краска: 8.5kg; Масло Osmo: 3.6kg; Фурнитура Blum: 36 компл."
2024-02-19,P002,Стол Loft Extend,18,"Дуб европейский: 126kg; Листовой металл Ст3: 56m2; Порошковая краска: 6kg; Масло Osmo: 1.8kg; Фурнитура Blum: 18 компл."
2024-02-19,P003,Стул Steel Oak,56,"Дуб европейский: 112kg; Профильная труба 40x20: 112m; Порошковая краска: 11.5kg; Крепеж: 560 шт."
2024-02-19,P004,Полка WallRack,41,"Сосна карельская: 82kg; Профильная труба 40x20: 61m; Порошковая краска: 6.3kg; Крепеж: 410 шт."
2024-02-26,P001,Стол Loft Nord,38,"Дуб европейский: 190kg; Профильная труба 40x20: 114m; Порошковая краска: 8.8kg; Масло Osmo: 3.8kg; Фурнитура Blum: 38 компл."
2024-02-26,P002,Стол Loft Extend,19,"Дуб европейский: 133kg; Листовой металл Ст3: 58m2; Порошковая краска: 6.2kg; Масло Osmo: 1.9kg; Фурнитура Blum: 19 компл."
2024-02-26,P003,Стул Steel Oak,58,"Дуб европейский: 116kg; Профильная труба 40x20: 116m; Порошковая краска: 12kg; Крепеж: 580 шт."
2024-02-26,P004,Полка WallRack,42,"Сосна карельская: 84kg; Профильная труба 40x20: 63m; Порошковая краска: 6.4kg; Крепеж: 420 шт."
2024-03-04,P001,Стол Loft Nord,40,"Дуб европейский: 200kg; Профильная труба 40x20: 120m; Порошковая краска: 9kg; Масло Osmo: 4kg; Фурнитура Blum: 40 компл."
2024-03-04,P002,Стол Loft Extend,20,"Дуб европейский: 140kg; Листовой металл Ст3: 60m2; Порошковая краска: 6.5kg; Масло Osmo: 2kg; Фурнитура Blum: 20 компл."
2024-03-04,P003,Стул Steel Oak,60,"Дуб европейский: 120kg; Профильная труба 40x20: 120m; Порошковая краска: 12.2kg; Крепеж: 600 шт."
2024-03-04,P004,Полка WallRack,44,"Сосна карельская: 88kg; Профильная труба 40x20: 66m; Порошковая краска: 6.5kg; Крепеж: 440 шт."
2024-03-11,P001,Стол Loft Nord,42,"Дуб европейский: 210kg; Профильная труба 40x20: 126m; Порошковая краска: 9.2kg; Масло Osmo: 4.2kg; Фурнитура Blum: 42 компл."
2024-03-11,P002,Стол Loft Extend,21,"Дуб европейский: 147kg; Листовой металл Ст3: 63m2; Порошковая краска: 6.7kg; Масло Osmo: 2.1kg; Фурнитура Blum: 21 компл."
2024-03-11,P003,Стул Steel Oak,62,"Дуб европейский: 124kg; Профильная труба 40x20: 124m; Порошковая краска: 12.5kg; Крепеж: 620 шт."
2024-03-11,P004,Полка WallRack,46,"Сосна карельская: 92kg; Профильная труба 40x20: 69m; Порошковая краска: 6.7kg; Крепеж: 460 шт."
2024-03-18,P001,Стол Loft Nord,44,"Дуб европейский: 220kg; Профильная труба 40x20: 132m; Порошковая краска: 9.4kg; Масло Osmo: 4.4kg; Фурнитура Blum: 44 компл."
2024-03-18,P002,Стол Loft Extend,22,"Дуб европейский: 154kg; Листовой металл Ст3: 66m2; Порошковая краска: 6.9kg; Масло Osmo: 2.2kg; Фурнитура Blum: 22 компл."
2024-03-18,P003,Стул Steel Oak,64,"Дуб европейский: 128kg; Профильная труба 40x20: 128m; Порошковая краска: 12.8kg; Крепеж: 640 шт."
2024-03-18,P004,Полка WallRack,48,"Сосна карельская: 96kg; Профильная труба 40x20: 72m; Порошковая краска: 6.9kg; Крепеж: 480 шт."
2024-03-25,P001,Стол Loft Nord,46,"Дуб европейский: 230kg; Профильная труба 40x20: 138m; Порошковая краска: 9.6kg; Масло Osmo: 4.6kg; Фурнитура Blum: 46 компл."
2024-03-25,P002,Стол Loft Extend,23,"Дуб европейский: 161kg; Листовой металл Ст3: 69m2; Порошковая краска: 7.1kg; Масло Osmo: 2.3kg; Фурнитура Blum: 23 компл."
2024-03-25,P003,Стул Steel Oak,66,"Дуб европейский: 132kg; Профильная труба 40x20: 132m; Порошковая краска: 13kg; Крепеж: 660 шт."
2024-03-25,P004,Полка WallRack,50,"Сосна карельская: 100kg; Профильная труба 40x20: 75m; Порошковая краска: 7kg; Крепеж: 500 шт."
2024-04-01,P001,Стол Loft Nord,48,"Дуб европейский: 240kg; Профильная труба 40x20: 144m; Порошковая краска: 9.8kg; Масло Osmo: 4.8kg; Фурнитура Blum: 48 компл."
2024-04-01,P002,Стол Loft Extend,24,"Дуб европейский: 168kg; Листовой металл Ст3: 72m2; Порошковая краска: 7.3kg; Масло Osmo: 2.4kg; Фурнитура Blum: 24 компл."
2024-04-01,P003,Стул Steel Oak,68,"Дуб европейский: 136kg; Профильная труба 40x20: 136m; Порошковая краска: 13.2kg; Крепеж: 680 шт."
2024-04-01,P004,Полка WallRack,52,"Сосна карельская: 104kg; Профильная труба 40x20: 78m; Порошковая краска: 7.2kg; Крепеж: 520 шт."
2024-06-03,P001,Стол Loft Nord,30,"Дуб европейский: 150kg; Профильная труба 40x20: 90m; Порошковая краска: 6.0kg; Масло Osmo: 3.0kg; Фурнитура Blum: 30 компл."
2024-06-03,P002,Стол Loft Extend,14,"Дуб европейский: 98kg; Листовой металл Ст3: 48m2; Порошковая краска: 5.0kg; Масло Osmo: 1.4kg; Фурнитура Blum: 14 компл."
2024-06-03,P003,Стул Steel Oak,46,"Дуб европейский: 92kg; Профильная труба 40x20: 92m; Порошковая краска: 9.0kg; Крепеж: 460 шт."
2024-06-03,P004,Полка WallRack,38,"Сосна карельская: 76kg; Профильная труба 40x20: 57m; Порошковая краска: 6.0kg; Крепеж: 380 шт."
2024-06-10,P001,Стол Loft Nord,12,"Дуб европейский: 60kg; Профильная труба 40x20: 36m; Порошковая краска: 2.4kg; Масло Osmo: 1.2kg; Фурнитура Blum: 12 компл."
2024-06-10,P002,Стол Loft Extend,6,"Дуб европейский: 42kg; Листовой металл Ст3: 20m2; Порошковая краска: 2.0kg; Масло Osmo: 0.6kg; Фурнитура Blum: 6 компл."
2024-06-10,P003,Стул Steel Oak,20,"Дуб европейский: 40kg; Профильная труба 40x20: 40m; Порошковая краска: 4.0kg; Крепеж: 200 шт."
2024-06-10,P004,Полка WallRack,14,"Сосна карельская: 28kg; Профильная труба 40x20: 21m; Порошковая краска: 2.2kg; Крепеж: 140 шт."
2024-06-17,P001,Стол Loft Nord,0,"Аварийный простой линии покраски"
2024-06-17,P002,Стол Loft Extend,0,"Аварийный простой линии покраски"
2024-06-17,P003,Стул Steel Oak,0,"Аварийный простой линии покраски"
2024-06-17,P004,Полка WallRack,0,"Аварийный простой линии покраски"
2024-06-24,P001,Стол Loft Nord,18,"Дуб европейский: 90kg; Профильная труба 40x20: 54m; Порошковая краска: 3.6kg; Масло Osmo: 1.8kg; Фурнитура Blum: 18 компл."
2024-06-24,P002,Стол Loft Extend,9,"Дуб европейский: 63kg; Листовой металл Ст3: 30m2; Порошковая краска: 3.0kg; Масло Osmo: 0.9kg; Фурнитура Blum: 9 компл."
2024-06-24,P003,Стул Steel Oak,28,"Дуб европейский: 56kg; Профильная труба 40x20: 56m; Порошковая краска: 5.6kg; Крепеж: 280 шт."
2024-06-24,P004,Полка WallRack,22,"Сосна карельская: 44kg; Профильная труба 40x20: 33m; Порошковая краска: 3.2kg; Крепеж: 220 шт."
2024-07-01,P001,Стол Loft Nord,26,"Дуб европейский: 130kg; Профильная труба 40x20: 78m; Порошковая краска: 7.0kg; Масло Osmo: 2.6kg; Фурнитура Blum: 26 компл."
2024-07-01,P002,Стол Loft Extend,12,"Дуб европейский: 84kg; Листовой металл Ст3: 40m2; Порошковая краска: 4.5kg; Масло Osmo: 1.2kg; Фурнитура Blum: 12 компл."
2024-07-01,P003,Стул Steel Oak,40,"Дуб европейский: 80kg; Профильная труба 40x20: 80m; Порошковая краска: 8.5kg; Крепеж: 400 шт."
2024-07-01,P004,Полка WallRack,30,"Сосна карельская: 60kg; Профильная труба 40x20: 45m; Порошковая краска: 5.2kg; Крепеж: 300 шт."
2024-09-02,P001,Стол Loft Nord,50,"Дуб европейский: 250kg; Профильная труба 40x20: 150m; Порошковая краска: 10kg; Масло Osmo: 5kg; Фурнитура Blum: 50 компл."
2024-09-02,P003,Стул Steel Oak,70,"Дуб европейский: 140kg; Профильная труба 40x20: 140m; Порошковая краска: 14kg; Крепеж: 700 шт."
2024-09-02,P006,Тумба TV Frame,35,"Дуб европейский: 175kg; Профильная труба 40x20: 70m; Порошковая краска: 7kg; Масло Osmo: 3.5kg; Фурнитура Blum: 35 компл."
2024-09-09,P007,Стол Coffee Urban,28,"Орех американский: 84kg; Профильная труба 40x20: 42m; Порошковая краска: 4.2kg; Масло Osmo: 2.8kg; Крепеж: 280 шт."
2024-09-09,P002,Стол Loft Extend,20,"Дуб европейский: 140kg; Листовой металл Ст3: 60m2; Порошковая краска: 6.5kg; Масло Osmo: 2kg; Фурнитура Blum: 20 компл."
2024-10-07,P001,Стол Loft Nord,55,"Дуб европейский: 275kg; Профильная труба 40x20: 165m; Порошковая краска: 11kg; Масло Osmo: 5.5kg; Фурнитура Blum: 55 компл."
2024-10-07,P003,Стул Steel Oak,80,"Дуб европейский: 160kg; Профильная труба 40x20: 160m; Порошковая краска: 16kg; Крепеж: 800 шт."
2024-10-07,P006,Тумба TV Frame,40,"Дуб европейский: 200kg; Профильная труба 40x20: 80m; Порошковая краска: 8kg; Масло Osmo: 4kg; Фурнитура Blum: 40 компл."
2024-11-04,P001,Стол Loft Nord,60,"Дуб европейский: 300kg; Профильная труба 40x20: 180m; Порошковая краска: 12kg; Масло Osmo: 6kg; Фурнитура Blum: 60 компл."
2024-11-04,P003,Стул Steel Oak,90,"Дуб европейский: 180kg; Профильная труба 40x20: 180m; Порошковая краска: 18kg; Крепеж: 900 шт."
2024-11-04,P006,Тумба TV Frame,45,"Дуб европейский: 225kg; Профильная труба 40x20: 90m; Порошковая краска: 9kg; Масло Osmo: 4.5kg; Фурнитура Blum: 45 компл."
2024-12-02,P001,Стол Loft Nord,62,"Дуб европейский: 310kg; Профильная труба 40x20: 186m; Порошковая краска: 12.5kg; Масло Osmo: 6.2kg; Фурнитура Blum: 62 компл."
2024-12-02,P003,Стул Steel Oak,96,"Дуб европейский: 192kg; Профильная труба 40x20: 192m; Порошковая краска: 19kg; Крепеж: 960 шт."
2024-12-02,P006,Тумба TV Frame,48,"Дуб европейский: 240kg; Профильная труба 40x20: 96m; Порошковая краска: 9.5kg; Масло Osmo: 4.8kg; Фурнитура Blum: 48 компл."
2024-12-09,P007,Стол Coffee Urban,40,"Орех американский: 120kg; Профильная труба 40x20: 60m; Порошковая краска: 6kg; Масло Osmo: 4kg; Крепеж: 400 шт."
2024-12-16,P002,Стол Loft Extend,28,"Дуб европейский: 196kg; Листовой металл Ст3: 80m2; Порошковая краска: 8kg; Масло Osmo: 2.8kg; Фурнитура Blum: 28 компл."
2024-12-23,P004,Полка WallRack,60,"Сосна карельская: 120kg; Профильная труба 40x20: 90m; Порошковая краска: 9kg; Крепеж: 600 шт."